ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,LCSC Assembly
1,1N4148W,D2,DIODE-SOD-123,1,1N4148W-E3-08,Vishay Intertech,LCSC,C241939,
2,LMV358IDR,U3,SOP-8_150MIL,1,LMV358IDR,TI,LCSC,C63813,Yes
3,16MHZ,X1,HC-49S,1,X49SD16MSD2SI,Yangxing Tech,LCSC,C188201,
4,MLT-5030,BUZZER1,MLT-5030,1,MLT-5030,HNDZ,LCSC,C95297,
6,BZT52-B18,D4,ZENER-SOD-123,1,MM1Z18,Jingdao,LCSC,C116111,Yes
7,MM1Z5V1,D3,ZENER-SOD-123,1,MM1Z5V1,SEMTECH,LCSC,C81601,Yes
8,47k,R12,603,1,0603WAF4702T5E,UniOhm,LCSC,C25819,
9,1k5,R2,603,1,0603WAF1501T5E,UniOhm,LCSC,C22843,
10,10k,"R11,R13,R3,R4,R6,R7,R14,R10,R1",603,9,0603WAF1002T5E,UniOhm,LCSC,C25804,
11,1k,R9,603,1,0603WAF1001T5E,UniOhm,LCSC,C21190,
12,200k,R8,603,1,0603WAF2003T5E,UniOhm,LCSC,C25811,
13,IRLR7843TRPBF,Q2,TO-252-2,1,IRLR7843TRPBF,IR,LCSC,C21988,Yes
16,3x6x2.5,RESET,KEY-3.0*6.0,1,3x6x2.5Red head high temperature,ReliaPro,LCSC,C46491,
18,100n,"C10,C1,C9,C3,C2",603,5,CC0603KRX7R9BB104,YAGEO,LCSC,C14663,
19,1u,C13,603,1,CL10A105KB8NNNC,SAMSUNG,LCSC,C15849,
20,330n,C11,603,1,C1608X7R1H334KT000E,TDK,LCSC,C76621,
21,22p,"C5,C6",603,2,CL10C220JB8NNNC,SAMSUNG,LCSC,C1653,
22,2n2,C8,603,1,0603B222K500NT,FH,LCSC,C1604,
23,1k,R5,1206,1,1206W4F1001T5E,UniOhm,LCSC,C4410,
24,47u,C4,1206,1,1206F476M100NT,FH,LCSC,C30349,
25,22u,C12,1206,1,C3216X5R1V226MTJ00E,TDK,LCSC,C342620,
26,10u,C7,1206,1,GMK316BJ106KL-T,Taiyo Yuden,LCSC,C92797,
27,78M05,U2,TO-252-2,1,ME78M05K3G,MICRONE,LCSC,C83969,Yes
28,PWR,LED1,LED0603,1,19-217/BHC-ZL1M2RY/3T,EVERLIGHT,LCSC,C72041,
29,FMMT619,Q1,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,FMMT619,CJ,LCSC,C53071,Yes
30,SS54,D1,DIODE-SMA(DO-214AC),1,SS54,Jingdao,LCSC,C123946,Yes
31,ATMEGA328P-AU,U1,TQFP-32_7X7X08P,1,ATMEGA328P-AU,MICROCHIP,LCSC,C14877,Yes